Nombres,Id,Géneros,Fecha en la que se añadió,Estación,Género General
James Arthur,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']",2021-04-07 18:19:11+00:00,Primavera,Pop
DukeeMdz,1ZvtTaNp6MzFp0a69FB2xZ,['rap espanol'],2021-04-07 21:57:46+00:00,Primavera,Otros
DukeeMdz,1ZvtTaNp6MzFp0a69FB2xZ,['rap espanol'],2021-04-07 22:01:28+00:00,Primavera,Otros
Raspo,4PRbNE8CqQfT4tz9JWCR9E,['NA'],2021-04-07 22:06:25+00:00,Primavera,Otros
Miranda,0DjGDEVSQsodFbL1bMVPRs,"['rap espanol', 'urbano espanol']",2021-04-07 22:06:25+00:00,Primavera,Reggateon
Babi,5nP79s99csrvcOiXTGjVfg,['indie triste'],2021-04-07 22:06:25+00:00,Primavera,Otros
Miranda,0DjGDEVSQsodFbL1bMVPRs,"['rap espanol', 'urbano espanol']",2021-04-07 22:08:13+00:00,Primavera,Reggateon
Miranda,0DjGDEVSQsodFbL1bMVPRs,"['rap espanol', 'urbano espanol']",2021-04-07 22:10:33+00:00,Primavera,Reggateon
Junco,19WQtApO8bp44xVTR4D138,"['pop flamenco', 'rumba']",2021-04-10 09:17:50+00:00,Primavera,Otros
Donovan,6vLlQYujOujIrm7zAKzEdG,"['british folk', 'british invasion', 'classic rock', 'folk', 'folk rock', 'glam rock', 'psychedelic folk', 'psychedelic rock', 'scottish singer-songwriter', 'singer-songwriter']",2021-04-11 08:58:25+00:00,Primavera,Rock & Indie
Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']",2021-04-11 08:58:34+00:00,Primavera,Otros
The Spencer Davis Group,3i9hP422d2KMjaupTzBNVS,"['british blues', 'british invasion', 'protopunk']",2021-04-11 08:58:45+00:00,Primavera,Otros
Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']",2021-04-11 08:58:50+00:00,Primavera,Otros
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",2021-04-11 08:58:55+00:00,Primavera,Rock & Indie
Herman's Hermits,48YxSlb23RAaCd4RyHcV9V,"['british invasion', 'classic rock', 'folk rock', 'rock-and-roll', 'singer-songwriter']",2021-04-11 08:59:12+00:00,Primavera,Rock & Indie
The Drifters,1FqqOl9itIUpXr4jZPIVoT,"['adult standards', 'classic soul', 'doo-wop', 'rock-and-roll', 'rockabilly', 'soul']",2021-04-11 08:59:18+00:00,Primavera,"Jazz, Soul & Blues"
Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']",2021-04-11 09:55:08+00:00,Primavera,Otros
Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']",2021-04-11 09:55:17+00:00,Primavera,Otros
AURORA,1WgXqy2Dd70QQOU7Ay074N,"['art pop', 'norwegian pop']",2021-04-11 14:13:25+00:00,Primavera,Otros
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",2021-04-11 14:25:14+00:00,Primavera,Rock & Indie
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",2021-04-13 11:44:20+00:00,Primavera,Rock & Indie
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",2021-04-13 11:45:02+00:00,Primavera,Rock & Indie
Kelly Rowland,3AuMNF8rQAKOzjYppFNAoB,"['atl hip hop', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",2021-04-14 18:45:48+00:00,Primavera,Pop
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",2021-04-14 18:45:48+00:00,Primavera,Pop
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2021-04-17 15:39:27+00:00,Primavera,Reggateon
Farruko,329e4yvIujISKGKz1BZZbO,"['reggaeton', 'trap latino', 'urbano latino']",2021-04-17 15:39:27+00:00,Primavera,Reggateon
Rvssian,1fctva4kpRbg2k3v7kwRuS,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",2021-04-17 15:39:27+00:00,Primavera,Reggateon
Britney Spears,26dSoYclwsYLMAKD3tpOr4,"['dance pop', 'pop']",2021-04-17 15:39:47+00:00,Primavera,Pop
Wisin,3E6xrwgnVfYCrCs0ePERDz,"['reggaeton', 'urbano latino']",2021-04-19 05:38:30+00:00,Primavera,Reggateon
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2021-04-19 05:38:30+00:00,Primavera,Reggateon
G4 Boyz,4ZtqSJYEh407LR6NM5hNcS,"['afro drill', 'brooklyn drill', 'new york drill']",2021-04-19 20:42:55+00:00,Primavera,Otros
G4choppa,27NMpKmQTbEGZ4R6kFrHoy,['afro drill'],2021-04-19 20:42:55+00:00,Primavera,Otros
G4choppa,27NMpKmQTbEGZ4R6kFrHoy,['afro drill'],2021-04-19 20:43:06+00:00,Primavera,Otros
G4 Boyz,4ZtqSJYEh407LR6NM5hNcS,"['afro drill', 'brooklyn drill', 'new york drill']",2021-04-19 20:43:06+00:00,Primavera,Otros
Alex Gaudino,7vb7VLDqpLTlAy1ctTMR5d,"['disco house', 'vocal house']",2021-04-19 20:43:15+00:00,Primavera,Otros
Crystal Waters,2sd9Q3r0Jhqpe3w9WVuG43,['diva house'],2021-04-19 20:43:15+00:00,Primavera,Otros
Lucian,5CVsjwjuzUOrlEc2OJbUg4,['vapor twitch'],2021-04-19 20:43:34+00:00,Primavera,Otros
M. Maggie,3jaknADFL7EOn3lSRneM7v,['la pop'],2021-04-19 20:43:34+00:00,Primavera,Otros
Black Coast,4JMdvZoXArDVuMNNelKmjo,['meme'],2021-04-19 20:43:34+00:00,Primavera,Otros
Disclosure,6nS5roXSAGhTGr34W6n7Et,"['edm', 'house', 'indietronica', 'uk dance']",2021-04-19 20:43:50+00:00,Primavera,EDM & Disco
Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1,['lilith'],2021-04-19 20:43:50+00:00,Primavera,Otros
Flume,6nxWCVXbOlEVRexSbLsTer,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",2021-04-19 20:43:50+00:00,Primavera,EDM & Disco
